SensorID,Timestamp,SensorType,X,Y,SensorData,BatteryLife,Temperature,IsFaulty
1,18-Apr-2024 22:41:44,Temperature,32.3005556746557,21.5759649294488,51.3962709738536,73.5335507464355,53.7932872257006,0
2,18-Apr-2024 22:41:45,Humidity,61.5884052662439,96.0304291593947,15.0246278254184,73.4352695059717,50.8675835421472,0
3,18-Apr-2024 22:41:46,Pressure,17.5435215552556,75.5733231136355,62.1173074998503,73.3726186518658,49.9053065113788,0
4,18-Apr-2024 22:41:47,Temperature,75.9324047712104,92.5193585766197,75.5473311455078,73.2819483994039,49.9902361171058,0
5,18-Apr-2024 22:41:48,Humidity,13.461775427514,14.7736971041102,20.5362926142508,73.2270142460265,48.28801808044,0
6,18-Apr-2024 22:41:49,Pressure,52.2846261957315,57.786310152602,57.6697036314204,73.2263306697038,50.9175290572674,0
7,18-Apr-2024 22:41:50,Temperature,72.8350659505191,44.0890804707979,46.5893972429871,73.1924072206148,49.8545791683224,0
8,18-Apr-2024 22:41:51,Humidity,21.4450627537224,11.9811943073578,96.5037119994301,73.1463365629456,52.3707467370725,0
9,18-Apr-2024 22:41:52,Pressure,80.0562360827419,5.9770198348958,96.1954085716291,73.068600481424,53.2525751621411,0
10,18-Apr-2024 22:41:53,Temperature,88.55754430072,56.1152435064706,21.7990116758419,73.0140318116458,54.4202986957446,0
11,18-Apr-2024 22:41:54,Humidity,93.0291324767973,4.71791426708967,14.0535477361014,72.9477529433109,56.7663037868745,0
12,18-Apr-2024 22:41:55,Pressure,93.8671878343502,12.3320384114126,89.169734112476,72.9069409441821,59.3173058896733,0
13,18-Apr-2024 22:41:56,Temperature,41.2365781399007,17.6929269012685,97.4800113660763,72.857572419619,62.3813152459004,0
14,18-Apr-2024 22:41:57,Humidity,30.9980274805266,40.2728693699128,75.3621713670254,72.7738303606532,65.721592436866,0
15,18-Apr-2024 22:41:58,Pressure,35.1389671563204,46.0661035396695,89.9019287599236,72.7689460284655,64.3967528372201,0
16,18-Apr-2024 22:41:59,Temperature,94.3819725400808,15.6327907423453,80.8401014216329,72.7471705949142,65.2980262633737,0
17,18-Apr-2024 22:42:00,Humidity,73.717503226613,51.0207101916614,65.8166088277876,72.7109761406219,68.5424227107525,0
18,18-Apr-2024 22:42:01,Pressure,44.2825870488699,56.6147091558407,57.1161855030788,72.6845269507995,69.1425920994018,0
19,18-Apr-2024 22:42:02,Temperature,23.9102660179586,81.8406633817509,9.66690426799506,72.6162514039165,67.470407605445,0
20,18-Apr-2024 22:42:03,Humidity,93.7017386515742,9.05431018868618,96.3184999120203,72.5890998553485,66.3274729136401,0
21,18-Apr-2024 22:42:04,Pressure,79.9434685748136,9.11381293808166,17.4500695935189,72.5161514838989,63.0286005243266,0
22,18-Apr-2024 22:42:05,Temperature,71.5780729419641,45.0720799614018,84.554183946863,72.4251486791386,63.6577329094177,0
23,18-Apr-2024 22:42:06,Humidity,30.7478229587044,7.77320917376448,96.611288307024,72.4116235672551,61.0617955026036,0
24,18-Apr-2024 22:42:07,Pressure,94.7773936694822,96.6749595829786,69.0442374482516,72.3866059919205,60.9141939926824,0
25,18-Apr-2024 22:42:08,Temperature,81.824794468955,64.5469572189625,88.7997890203845,72.3713369536693,61.601323151295,0
26,18-Apr-2024 22:42:09,Humidity,67.5172187291895,0.695799435975275,41.5079371291656,72.3208278238829,58.4295409319594,0
27,18-Apr-2024 22:42:10,Pressure,84.5442953265317,8.22693568504168,4.4800052854689,72.2457062101774,58.3721968310445,0
28,18-Apr-2024 22:42:11,Temperature,0.406264105847243,84.7123671961932,50.0093730476218,72.2420685342722,58.2467260800976,0
29,18-Apr-2024 22:42:12,Humidity,28.7051833839967,70.482316516228,65.5177247960753,72.1919321734218,59.5027361809794,0
30,18-Apr-2024 22:42:13,Pressure,53.7552416501465,70.1652071199087,17.2121306922194,72.1040888973129,60.6705106026544,0
31,18-Apr-2024 22:42:14,Temperature,96.6579498730288,91.6665394147892,10.5715237315039,72.0682348601293,59.4635164377154,0
32,18-Apr-2024 22:42:15,Humidity,15.4506537958585,0.82710631241083,15.0047476957996,72.0150129383004,59.6532511695364,0
33,18-Apr-2024 22:42:16,Pressure,57.9259595174965,90.8061792029209,9.47983936128369,72.0009922100057,56.8996308118701,0
34,18-Apr-2024 22:42:17,Temperature,92.7816353483626,92.1762248257221,97.8576738219282,71.9895189391895,54.0441381832579,0
35,18-Apr-2024 22:42:18,Humidity,23.8129755497653,20.2399640397358,29.5001961673136,71.9511976271521,52.215526806656,0
36,18-Apr-2024 22:42:19,Pressure,46.5100519321989,26.8559773259106,49.9537323129596,71.9284433805508,51.5938261922839,0
37,18-Apr-2024 22:42:20,Temperature,47.3135687896744,5.36012608265388,91.1675681676061,71.862679526809,55.0514483162724,0
38,18-Apr-2024 22:42:21,Humidity,47.0121425819571,88.7419297213459,88.9179258414999,71.8509629839232,51.6095743678769,0
39,18-Apr-2024 22:42:22,Pressure,20.2084196620881,81.953246295566,23.3998317915627,71.7738006766863,50.3821739632094,0
40,18-Apr-2024 22:42:23,Temperature,16.3884914289979,36.3878824840447,98.1219200401786,71.6742781124289,48.0346531359733,0
41,18-Apr-2024 22:42:24,Humidity,51.6692351859988,36.2396059845362,49.2878929772249,71.631168059066,45.4420225273267,0
42,18-Apr-2024 22:42:25,Pressure,4.14351878591861,65.8829930730961,61.2864321087708,71.6143686682416,47.9149829763408,0
43,18-Apr-2024 22:42:26,Temperature,94.4676231120944,39.3275420859471,91.558284156907,71.5657816716778,48.6839171032155,0
44,18-Apr-2024 22:42:27,Humidity,71.518909698898,90.7787369265558,97.5358526244879,71.5448693121742,49.3750062091953,0
45,18-Apr-2024 22:42:28,Pressure,6.62598169294093,19.8699794895498,93.8337632702865,71.4923126340149,45.5003156753777,0
46,18-Apr-2024 22:42:29,Temperature,27.5409845765264,29.4566190273391,80.0437137365896,71.4269157014794,44.2766521791748,0
47,18-Apr-2024 22:42:30,Humidity,72.7426130120337,50.2211729905243,25.1415442259272,71.3459612037533,44.0981693830343,0
48,18-Apr-2024 22:42:31,Pressure,51.3852169858058,93.0433173393622,61.6725759585141,71.3213695613732,48.4389785041689,0
49,18-Apr-2024 22:42:32,Temperature,58.4837811235644,10.5344546825201,77.7302543281609,71.2299536328312,52.6373447949063,0
50,18-Apr-2024 22:42:33,Humidity,42.9855453460168,4.6264377004987,57.4505771103817,71.135011263311,49.1220596726894,0
51,18-Apr-2024 22:42:34,Pressure,23.641615509037,24.8163141538564,57.2274679548769,71.065024930444,46.7071627888254,0
52,18-Apr-2024 22:42:35,Temperature,5.8695427869204,32.8239783441227,3.88029361798347,71.0042952793694,49.9161380875897,0
53,18-Apr-2024 22:42:36,Humidity,50.3578775300552,34.0286531413208,74.3321634704017,70.9782716533475,52.2970477225738,0
